--------------------------------------------------------------------------------
		marvellous infosystems process log

		log file is created at: Fri Jun 20 17:00:58 2025
--------------------------------------------------------------------------------{'username': 'NT AUTHORITY\\SYSTEM', 'pid': 0, 'name': 'System Idle Process'} 
{'username': None, 'pid': 11388, 'name': 'Dell.TechHub.Instrumentation.SubAgent.exe'} 
{'username': None, 'pid': 11504, 'name': 'RtkAudUService64.exe'} 
{'username': 'DESKTOP-NP5VK9H\\DELL', 'pid': 11592, 'name': 'steamwebhelper.exe'} 
{'username': None, 'pid': 11600, 'name': 'Dell.CoreServices.Client.exe'} 
{'username': 'DESKTOP-NP5VK9H\\DELL', 'pid': 11676, 'name': 'msedge.exe'} 
{'username': 'DESKTOP-NP5VK9H\\DELL', 'pid': 11708, 'name': 'chrome.exe'} 
{'username': 'DESKTOP-NP5VK9H\\DELL', 'pid': 11756, 'name': 'chrome.exe'} 
{'username': 'DESKTOP-NP5VK9H\\DELL', 'pid': 11772, 'name': 'chrome.exe'} 
{'username': None, 'pid': 11840, 'name': 'svchost.exe'} 
{'username': None, 'pid': 11900, 'name': 'Dell.Customer.Connect.SubAgent.exe'} 
{'username': None, 'pid': 12024, 'name': 'conhost.exe'} 
{'username': 'DESKTOP-NP5VK9H\\DELL', 'pid': 12068, 'name': 'steamwebhelper.exe'} 
{'username': 'DESKTOP-NP5VK9H\\DELL', 'pid': 12300, 'name': 'RuntimeBroker.exe'} 
{'username': None, 'pid': 12348, 'name': 'svchost.exe'} 
{'username': None, 'pid': 12372, 'name': 'Dell.Optimizer.DthProxy.exe'} 
{'username': None, 'pid': 12476, 'name': 'DellOptimizer.exe'} 
{'username': None, 'pid': 12560, 'name': 'Dell.UCA.Manager.exe'} 
{'username': 'DESKTOP-NP5VK9H\\DELL', 'pid': 12572, 'name': 'Code.exe'} 
{'username': None, 'pid': 12912, 'name': 'conhost.exe'} 
{'username': None, 'pid': 12992, 'name': 'conhost.exe'} 
{'username': None, 'pid': 13012, 'name': 'conhost.exe'} 
{'username': None, 'pid': 13168, 'name': 'Dell.Update.SubAgent.exe'} 
{'username': None, 'pid': 13212, 'name': 'conhost.exe'} 
{'username': None, 'pid': 13252, 'name': 'conhost.exe'} 
{'username': None, 'pid': 13316, 'name': 'conhost.exe'} 
{'username': None, 'pid': 13424, 'name': 'ServiceShell.exe'} 
{'username': 'DESKTOP-NP5VK9H\\DELL', 'pid': 13440, 'name': 'smartscreen.exe'} 
{'username': None, 'pid': 13456, 'name': 'msdtc.exe'} 
{'username': 'DESKTOP-NP5VK9H\\DELL', 'pid': 13468, 'name': 'RuntimeBroker.exe'} 
{'username': None, 'pid': 13620, 'name': 'conhost.exe'} 
{'username': None, 'pid': 13788, 'name': 'svchost.exe'} 
{'username': 'DESKTOP-NP5VK9H\\DELL', 'pid': 13864, 'name': 'msedgewebview2.exe'} 
{'username': None, 'pid': 13928, 'name': 'SecurityHealthService.exe'} 
{'username': 'DESKTOP-NP5VK9H\\DELL', 'pid': 13988, 'name': 'msedgewebview2.exe'} 
{'username': None, 'pid': 14264, 'name': 'WmiPrvSE.exe'} 
{'username': None, 'pid': 14288, 'name': 'audiodg.exe'} 
{'username': None, 'pid': 14440, 'name': 'WmiPrvSE.exe'} 
{'username': 'DESKTOP-NP5VK9H\\DELL', 'pid': 14448, 'name': 'PhoneExperienceHost.exe'} 
{'username': 'DESKTOP-NP5VK9H\\DELL', 'pid': 14588, 'name': 'sihost.exe'} 
{'username': 'DESKTOP-NP5VK9H\\DELL', 'pid': 14740, 'name': 'cmd.exe'} 
